,Country,Ipl_Team,Name,URL
104,India,Rising-Pune,Ravichandran Ashwin,http://www.espncricinfo.com/indian-premier-league-2016/content/player/26421.html
105,India,Rising-Pune,Ankush Bains,http://www.espncricinfo.com/indian-premier-league-2016/content/player/604534.html
106,India,Rising-Pune,Rajat Bhatia,http://www.espncricinfo.com/indian-premier-league-2016/content/player/26907.html
107,Australia,Rising-Pune,Scott Boland,http://www.espncricinfo.com/indian-premier-league-2016/content/player/446548.html
108,India,Rising-Pune,Ashok Dinda,http://www.espncricinfo.com/indian-premier-league-2016/content/player/227712.html
109,South Africa,Rising-Pune,Faf du Plessis,http://www.espncricinfo.com/indian-premier-league-2016/content/player/44828.html
110,Australia,Rising-Pune,Peter Handscomb,http://www.espncricinfo.com/indian-premier-league-2016/content/player/334337.html
111,India,Rising-Pune,Jaskaran Singh,http://www.espncricinfo.com/indian-premier-league-2016/content/player/376102.html
112,Australia,Rising-Pune,Mitchell Marsh,http://www.espncricinfo.com/indian-premier-league-2016/content/player/272450.html
113,South Africa,Rising-Pune,Albie Morkel,http://www.espncricinfo.com/indian-premier-league-2016/content/player/46248.html
114,India,Rising-Pune,Ishwar Pandey,http://www.espncricinfo.com/indian-premier-league-2016/content/player/447439.html
115,India,Rising-Pune,Irfan Pathan,http://www.espncricinfo.com/indian-premier-league-2016/content/player/32685.html
116,Sri Lanka,Rising-Pune,Thisara Perera,http://www.espncricinfo.com/indian-premier-league-2016/content/player/233514.html
117,England,Rising-Pune,Kevin Pietersen,http://www.espncricinfo.com/indian-premier-league-2016/content/player/19296.html
118,India,Rising-Pune,Ajinkya Rahane,http://www.espncricinfo.com/indian-premier-league-2016/content/player/277916.html
119,India,Rising-Pune,Ishant Sharma,http://www.espncricinfo.com/indian-premier-league-2016/content/player/236779.html
120,India,Rising-Pune,RP Singh,http://www.espncricinfo.com/indian-premier-league-2016/content/player/35280.html
121,Australia,Rising-Pune,Steven Smith,http://www.espncricinfo.com/indian-premier-league-2016/content/player/267192.html
122,India,Rising-Pune,Saurabh Tiwary,http://www.espncricinfo.com/indian-premier-league-2016/content/player/35390.html
123,Australia,Rising-Pune,Adam Zampa,http://www.espncricinfo.com/indian-premier-league-2016/content/player/379504.html
124,India,Banglore,Virat Kohli,http://www.espncricinfo.com/indian-premier-league-2016/content/player/253802.html
125,India,Banglore,Varun Aaron,http://www.espncricinfo.com/indian-premier-league-2016/content/player/360911.html
126,India,Banglore,Abu Nechim,http://www.espncricinfo.com/indian-premier-league-2016/content/player/228430.html
127,India,Banglore,Sreenath Aravind,http://www.espncricinfo.com/indian-premier-league-2016/content/player/290632.html
128,West Indies,Banglore,Samuel Badree,http://www.espncricinfo.com/indian-premier-league-2016/content/player/51433.html
129,India,Banglore,Stuart Binny,http://www.espncricinfo.com/indian-premier-league-2016/content/player/27223.html
